Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0,0.005,0,0,0,0,0.0196349540849362,3.23158619314575E-06,-4.74299031266813E-39,0,6.13592315154257E-06,1.21887028383951E-38,3.23158619314575E-06,0,0,0,0,0,0,package://Turret/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Turret/meshes/base.STL,,Base-1,Base_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
head,1.56125112837913E-17,0.0307309903151901,-0.00562014722037463,0,0,0,0.423684878840857,0.000400381296860664,-4.68192748819734E-20,3.67266287017081E-20,0.000673682621258193,4.14608921495357E-05,0.00045787110991625,0,0,0,0,0,0,package://Turret/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Turret/meshes/head.STL,,Head-1,Head_CS,Head_Axis,yaw,revolute,0,0.01,0,0,0,0,base,0,1,0,1,1,-3.1415,3.1415,,,,,,,,
barrel,-3.12250225675825E-17,0,0.024248561432183,0,0,0,0.0134260331675742,1.67387334730734E-05,-1.21716375765917E-22,1.72263883210385E-20,1.67387334730734E-05,9.63442059864229E-23,6.22126025294151E-07,0,0,0,0,0,0,package://Turret/meshes/barrel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Turret/meshes/barrel.STL,,TurretBarrel-1,Barrel_CS,Barrel_Axis,pitch,revolute,0,0.042984,0.0033423,0,0,0,head,-1,0,0,1,1,0,1.5708,,,,,,,,
